id,address,incident_date,city,zipcode,battalion,station_area,action_taken_primary,property_use,ignition_cause,neighborhood_district,point
30081930,1345 Fillmore St.,2003-01-29 0:00:00,SF,94102,B05,5,86 - Investigate,429 - Multifamily dwellings,,Western Addition,POINT (-122.4325 37.781838)
30081960,5th St. / Market St.,2003-01-29 0:00:00,SF,94105,B03,1,86 - Investigate,"000 - Property Use, other",,South of Market,POINT (-122.407486 37.783529)
30089160,Eddy St. / Van Ness Av.,2003-01-31 0:00:00,SF,94102,B02,3,86 - Investigate,"960 - Street, other",,Tenderloin,POINT (-122.420818 37.782895)
30089190,1045 Leavenworth St.,2003-01-31 0:00:00,SF,94109,B01,41,64 - Shut down system,429 - Multifamily dwellings,,Nob Hill,POINT (-122.41590325 37.79085015)
30089210,Harkness Av. / San Bruno Av.,2003-01-31 0:00:00,SF,94134,B10,44,86 - Investigate,"962 - Residential street, road or residential dr",,Visitacion Valley,POINT (-122.400133 37.717908)
30087200,7th Av. / Irving St.,2003-01-31 0:00:00,SF,94122,B08,22,86 - Investigate,963 - Street or road in commercial area,,Inner Sunset,POINT (-122.464173 37.76413)
30087220,450 South Van Ness Av.,2003-01-31 0:00:00,SF,94110,B02,7,"00 - Action taken, other","150 - Public or government, other",,Mission,POINT (-122.4165804 37.76681287)
30089220,Hayes St. / Polk St.,2003-01-31 0:00:00,SF,94102,B02,36,11 - Extinguish,"960 - Street, other",,Tenderloin,POINT (-122.418046 37.777511)
30089230,182 26th Av.,2003-01-31 0:00:00,SF,94121,B07,14,"10 - Fire, other","000 - Property Use, other",,Outer Richmond,POINT (-122.4861516 37.78564222)
30089250,Lobos St. / Plymouth Av.,2003-01-31 0:00:00,SF,94112,B09,33,61 - Restore municipal services,"962 - Residential street, road or residential dr",,Oceanview/Merced/Ingleside,POINT (-122.456071 37.714905)
30089300,200 Holladay Av.,2003-01-31 0:00:00,SF,94124,B06,9,11 - Extinguish,931 - Open land or field,2 - Unintentional,Bernal Heights,POINT (-122.4060256 37.7470362)
30089320,21st St. / Valencia St.,2003-01-31 0:00:00,SF,94131,B06,7,86 - Investigate,"962 - Residential street, road or residential dr",,Mission,POINT (-122.421119 37.756901)
30089340,Pierce St. / Turk St.,2003-01-31 0:00:00,SF,94102,B05,5,86 - Investigate,"960 - Street, other",,Western Addition,POINT (-122.435427 37.780076)
30089370,Broadway / Montgomery St.,2003-01-31 0:00:00,SF,94104,B01,13,86 - Investigate,963 - Street or road in commercial area,,North Beach,POINT (-122.403864 37.798222)
30087300,43rd Av. / Rivera St.,2003-01-31 0:00:00,SF,94122,B08,23,33 - Provide advanced life support (ALS),"962 - Residential street, road or residential dr",,Sunset/Parkside,POINT (-122.501669 37.745644)
30087310,388 Carl St.,2003-01-31 0:00:00,SF,94117,B05,12,86 - Investigate,429 - Multifamily dwellings,,Inner Sunset,POINT (-122.45621521 37.76545605)
30023700,1250 Columbus Av.,2003-01-08 0:00:00,SF,94133,B01,28,86 - Investigate,"000 - Property Use, other",,North Beach,POINT (-122.417614 37.805648)
30024270,1 Sf Intl Airport,2003-01-08 0:00:00,SFO,94105,B09,44,86 - Investigate,"880 - Vehicle storage, other",,Bayview Hunters Point,POINT (-122.38416 37.616901)
30055940,1 Maritime Pz,2003-01-19 0:00:00,SF,94104,B01,13,86 - Investigate,599 - Business office,,Financial District/South Beach,POINT (-122.399227 37.79518)
30007980,California St. / Spruce St.,2003-01-03 0:00:00,SF,94115,B07,10,43 - HazMat spill control and confinement,963 - Street or road in commercial area,,Presidio Heights,POINT (-122.453407 37.786416)
30035830,425 Mission St.,2003-01-12 0:00:00,SF,94105,B03,35,63 - Restore fire alarm system,"170 - Passenger terminal, other",,Financial District/South Beach,POINT (-122.39659564 37.78969138)
30005950,705 Natoma St.,2003-01-02 0:00:00,SF,94121,B02,1,86 - Investigate,"960 - Street, other",,South of Market,POINT (-122.41222 37.776516)
30005990,650 California St.,2003-01-02 0:00:00,SF,94111,B01,13,86 - Investigate,599 - Business office,,Chinatown,POINT (-122.405758 37.792543)
30006090,2232 Webster St.,2003-01-02 0:00:00,SF,94115,B04,38,86 - Investigate,429 - Multifamily dwellings,,Pacific Heights,POINT (-122.43238748 37.79142016)
30006190,Geary Bl. / Masonic Av.,2003-01-02 0:00:00,SF,94102,B05,10,86 - Investigate,"962 - Residential street, road or residential dr",,Lone Mountain/USF,POINT (-122.447303 37.782391)
30006200,Golden Gate Av. / Leavenworth St.,2003-01-02 0:00:00,SF,94109,B02,1,86 - Investigate,"962 - Residential street, road or residential dr",,Tenderloin,POINT (-122.41387 37.781862)
30006260,Haight St. / Lyon St.,2003-01-02 0:00:00,SF,94117,B05,21,86 - Investigate,"962 - Residential street, road or residential dr",,Haight Ashbury,POINT (-122.441998 37.770637)
30010770,San Bruno Av. / Wayland St.,2003-01-04 0:00:00,SF,94134,B10,42,86 - Investigate,"960 - Street, other",,Portola,POINT (-122.403105 37.726433)
30010890,18th St. / Castro St.,2003-01-04 0:00:00,SF,94114,B05,6,86 - Investigate,"962 - Residential street, road or residential dr",,Castro/Upper Market,POINT (-122.435003 37.760888)
30013400,201 Harrison St.,2003-01-04 0:00:00,SF,94105,B03,35,86 - Investigate,429 - Multifamily dwellings,2 - Unintentional,Financial District/South Beach,POINT (-122.390322 37.788037)
30013480,Octavia St. / Page St.,2003-01-04 0:00:00,SF,94105,B02,36,11 - Extinguish,963 - Street or road in commercial area,,Hayes Valley,POINT (-122.42406 37.773876)
30013500,1519 Haight St.,2003-01-04 0:00:00,SF,94117,B05,12,"44 - HazMat leak, control & containment","960 - Street, other",,Haight Ashbury,POINT (-122.447276 37.769893)
30010980,1 Van Ness Av.,2003-01-04 0:00:00,SF,94102,B02,36,86 - Investigate,"960 - Street, other",,Hayes Valley,POINT (-122.419357 37.775202)
30011000,737 Bush St.,2003-01-04 0:00:00,SF,94133,B01,2,86 - Investigate,"960 - Street, other",,Nob Hill,POINT (-122.40939193 37.78979319)
30018330,1414 Valencia St.,2003-01-06 0:00:00,SF,94114,B06,11,73 - Provide manpower,419 - 1 or 2 family dwelling,,Mission,POINT (-122.42077347 37.75016948)
30018340,50 Fremont St.,2003-01-06 0:00:00,SF,94105,B03,35,86 - Investigate,599 - Business office,,Financial District/South Beach,POINT (-122.397365 37.790304)
30018400,79 Divisadero St.,2003-01-06 0:00:00,SF,94114,B05,6,86 - Investigate,"962 - Residential street, road or residential dr",,Castro/Upper Market,POINT (-122.4368755 37.76855265)
30018420,55 Stevenson St.,2003-01-06 0:00:00,SF,94104,B03,1,64 - Shut down system,161 - Restaurant or cafeteria,,Financial District/South Beach,POINT (-122.39957773 37.78955819)
30018430,1631 Hayes St.,2003-01-06 0:00:00,SF,94117,B05,21,86 - Investigate,429 - Multifamily dwellings,,Lone Mountain/USF,POINT (-122.44328 37.774221)
30020750,3rd St. / Howard St.,2003-01-07 0:00:00,SF,94105,B03,1,86 - Investigate,963 - Street or road in commercial area,,Financial District/South Beach,POINT (-122.400474 37.785029)
30020760,Market St. / Mason St.,2003-01-07 0:00:00,SF,94109,B03,1,86 - Investigate,"962 - Residential street, road or residential dr",,Tenderloin,POINT (-122.408953 37.783288)
30020780,663 Valencia St.,2003-01-07 0:00:00,SF,94110,B02,7,63 - Restore fire alarm system,429 - Multifamily dwellings,,Mission,POINT (-122.421544 37.762234)
30020810,80 Digby St.,2003-01-07 0:00:00,SF,94131,B06,26,62 - Restore fire protection system,888 - Fire station,,Glen Park,POINT (-122.433335 37.740249)
30020850,Fell St. / Webster St.,2003-01-07 0:00:00,SF,94115,B05,5,86 - Investigate,"962 - Residential street, road or residential dr",,Hayes Valley,POINT (-122.429369 37.775111)
30020860,Polk St. / Post St.,2003-01-07 0:00:00,SF,94109,B04,3,86 - Investigate,"960 - Street, other",,Tenderloin,POINT (-122.41993 37.786826)
30020950,1825 Post St.,2003-01-07 0:00:00,SF,94115,B04,5,86 - Investigate,"962 - Residential street, road or residential dr",,Japantown,POINT (-122.43229175 37.78492148)
